,Unnamed: 0,p1.x,p1.y,p1.percentage,p1.falls,p1.SDs,p2.x,p2.y,p2.percentage,p2.falls,p2.SDs,match.frame_count,buttons_a,buttons_b,buttons_x,buttons_z,stick_main.x,stick_main.y,stick_c.x,stick_c.y,analog_r
205,206.0,0.4161540865898132,9.999999747378753e-05,71.0,0.0,4.0,-11.172003746032717,9.999999747378753e-05,0.0,37.0,26.0,23361.0,1.0,0.0,0.0,0.0,0.0,0.5769706885414334,1.0,0.9580009960084492,0.0
190,191.0,-59.97290420532226,20.50006484985352,78.0,0.0,4.0,-49.50669860839844,27.20009994506836,0.0,38.0,27.0,23987.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
241,242.0,-50.22998428344727,27.20009994506836,94.0,0.0,4.0,-41.74469757080078,27.20009994506836,0.0,39.0,28.0,24337.0,1.0,0.0,0.0,0.0,0.12081963175130805,0.7068079977364259,0.0,0.6703334381029531,0.0
576,577.0,-44.3301887512207,27.20009994506836,106.0,0.0,4.0,-20.792739868164066,20.060100555419922,5.0,39.0,28.0,24672.0,0.0,1.0,0.0,0.0,0.10480005560997112,0.0,0.3489368331029745,0.5563977290336378,0.0
681,682.0,-64.09067535400389,4.510169982910156,118.0,0.0,4.0,-58.5039176940918,9.999999747378753e-05,5.0,39.0,28.0,24777.0,1.0,1.0,0.0,0.0,0.0,0.0,0.9448820156816214,1.0,0.0
718,719.0,56.24595642089844,9.999999747378753e-05,123.0,0.0,4.0,56.24595642089844,9.999999747378753e-05,32.0,41.0,30.0,25817.0,1.0,1.0,1.0,0.0,0.19812020498274746,1.0,0.9022966681244188,0.0034509336990822697,0.0
736,737.0,53.32394409179688,3.703837394714356,134.0,0.0,4.0,66.95370483398439,2.545743227005005,32.0,41.0,30.0,25835.0,1.0,0.0,1.0,0.0,0.4429736890510239,1.0,0.7144245599447956,0.0,0.0
470,471.0,-5.326364040374756,2.018209934234619,141.0,0.0,4.0,6.359689235687256,9.999999747378753e-05,15.0,42.0,30.0,26406.0,0.0,1.0,1.0,0.0,0.4902209210190552,0.574866765178407,1.0,0.5748479691649602,0.0
257,258.0,-49.59470748901367,9.999999747378753e-05,151.0,0.0,4.0,-64.061767578125,9.999999747378753e-05,0.0,43.0,30.0,27424.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
404,405.0,-39.13723754882813,9.999999747378753e-05,167.0,0.0,4.0,-64.10195159912111,9.999999747378753e-05,0.0,43.0,30.0,27571.0,0.0,0.0,1.0,0.0,0.6710868401351653,0.7744641076982375,0.17564974454023993,1.0,0.0
549,550.0,-29.46566200256348,9.999999747378753e-05,189.0,-0.00011990407673860913,4.0,-28.45130729675293,9.999999747378753e-05,27.0,44.0,30.0,28763.0,0.0,1.0,1.0,0.0,1.0,0.0,0.7854814799111417,1.0,0.0
683,684.0,-4.6997413635253915,33.86457061767578,0.0,0.0,4.0,-47.278663635253906,9.999999747378753e-05,27.0,44.0,30.0,28897.0,1.0,0.0,1.0,0.0,1.0,1.0,0.16417846477885414,0.8853864874264491,0.0
401,402.0,4.426229476928711,9.999999747378753e-05,7.0,0.0,4.0,10.904004096984863,9.999999747378753e-05,16.0,45.0,31.0,29449.0,0.0,1.0,0.0,0.0,0.9067739825107048,0.4458551435762193,0.0,0.2732378763285157,0.0
234,235.0,-18.14674568176269,9.999999747378753e-05,15.0,0.0,4.0,-5.35777759552002,9.999999747378753e-05,0.0,46.0,32.0,29904.0,1.0,1.0,0.0,0.0,0.0,0.6550694497866247,0.9405948527940609,0.9789725041384564,0.0
528,529.0,20.084665298461914,9.999999747378753e-05,34.0,0.0,4.0,25.36060333251953,9.999999747378753e-05,8.0,46.0,32.0,30198.0,1.0,0.0,1.0,0.0,0.8983552448759946,0.0,0.6177503722488559,1.0,0.0
824,825.0,37.94332504272461,28.62009048461914,41.0,0.0,4.0,57.60000228881836,27.20009994506836,14.0,46.0,32.0,30494.0,1.0,0.0,1.0,0.0,0.8949020592199693,0.9214544239000356,0.4707551719974208,0.3155070952821588,0.0
139,140.0,-31.532978057861328,27.20009994506836,47.0,0.0,4.0,-37.4589958190918,47.10998916625977,0.0,47.0,33.0,30752.0,1.0,0.0,1.0,0.0,0.8557421927049516,1.0,0.7148313695830423,0.9535760420016924,0.0
223,224.0,-48.40426254272461,27.20009994506836,66.0,0.0,4.0,-42.85463333129883,27.20009994506836,0.0,47.0,33.0,30836.0,0.0,1.0,0.0,0.0,0.7380850938201177,0.4593267000295668,0.0,1.0,0.0
562,563.0,13.727871894836426,9.999999747378753e-05,74.0,0.0,4.0,24.720006942749023,9.999999747378753e-05,25.0,48.0,34.0,31679.0,1.0,0.0,0.0,0.0,0.0,0.8086428547195871,0.0,0.3998402929792318,0.0
533,534.0,52.55805969238281,9.999999747378753e-05,84.0,0.0,4.0,64.061767578125,9.999999747378753e-05,11.0,49.0,34.0,32916.0,0.0,0.0,1.0,0.0,1.0,0.0,0.8096956702583913,0.0,0.0
582,583.0,35.06435012817383,9.999999747378753e-05,86.0,0.0,4.0,59.01982498168945,9.999999747378753e-05,11.0,49.0,34.0,32965.0,1.0,0.0,1.0,0.0,0.7465644861677717,1.0,0.5616509306946644,0.0,0.0
767,768.0,41.98687362670898,27.20009994506836,92.0,0.0,4.0,50.7221908569336,27.20009994506836,27.0,49.0,34.0,33150.0,0.0,0.0,0.0,0.0,0.0,0.5276426694788947,0.9028946849260144,0.5219842941266705,0.0
966,967.0,-5.845622539520264,9.999999747378753e-05,107.0,0.0,4.0,-21.685806274414066,9.999999747378753e-05,39.0,49.0,34.0,33349.0,1.0,0.0,1.0,0.0,0.782860705874866,0.5013772687990425,0.0,0.6487223195865438,0.0
1283,1284.0,-26.849552154541016,9.999999747378753e-05,112.0,0.0,4.0,-26.849552154541016,9.999999747378753e-05,65.0,51.0,36.0,35205.0,1.0,1.0,0.0,0.0,0.2389160972290865,1.0,0.2241500746931035,0.0589158407507618,0.0
1301,1302.0,-30.126256942749023,3.034377098083496,123.0,0.0,4.0,-16.141803741455078,2.545743227005005,65.0,51.0,36.0,35223.0,0.0,1.0,0.0,0.0,0.7056867140160841,0.7316220250509505,0.0,0.6174839631655781,0.0
226,227.0,-34.098262786865234,27.20009994506836,144.0,-0.0001953125,4.0,-20.0,27.20000076293945,0.0,53.0,37.0,36074.0,1.0,1.0,1.0,0.0,0.38929833735178426,1.0,0.7389816200881224,1.0,0.0
408,409.0,-166.0624237060547,81.60013580322266,0.0,0.0,4.0,7.086008071899414,9.999999747378753e-05,0.0,53.0,37.0,36256.0,0.0,1.0,1.0,0.0,0.0,0.7861242597257728,0.4711667534163296,1.0,0.0
192,193.0,-54.36980438232422,27.20009994506836,7.0,0.0,4.0,-42.54645156860352,27.20009994506836,0.0,55.0,39.0,36797.0,0.0,0.0,1.0,0.0,0.6043360839802977,1.0,0.0,0.3954368767579877,0.0
573,574.0,-2.411154270172119,6.871033668518066,12.0,0.0,4.0,-0.915532886981964,12.15867519378662,31.0,55.0,39.0,37178.0,1.0,0.0,1.0,0.0,0.9665592202634464,1.0,0.023934183214149973,1.0,0.0
591,592.0,-3.920841217041016,8.320898056030272,22.0,0.0,4.0,-0.915532886981964,12.15867519378662,31.0,55.0,39.0,37196.0,1.0,0.0,1.0,0.0,0.59850991678816,0.793067056150437,0.0,0.08285210809451551,0.0
928,929.0,48.41816329956055,27.20009994506836,36.0,0.0,4.0,64.40957641601561,23.85009384155273,31.0,55.0,39.0,37533.0,1.0,0.0,1.0,0.0,1.0,0.0933423843089118,0.0,0.04434653353408169,0.0
218,219.0,-32.69916534423828,27.20009994506836,44.0,0.0,4.0,-21.505983352661133,27.20009994506836,0.0,57.0,41.0,38116.0,0.0,0.0,1.0,0.0,0.0,0.005465060453019505,0.0,0.9867029119552924,0.0
451,452.0,-24.93544960021973,54.45514678955078,56.0,0.0,4.0,-21.52665138244629,27.20009994506836,0.0,57.0,41.0,38349.0,0.0,1.0,1.0,0.0,0.0,1.0,0.6422382555199698,0.0,0.0
148,149.0,-56.150146484375,23.22009468078613,66.0,0.0,4.0,-32.54800796508789,23.90998268127441,0.0,58.0,41.0,38725.0,0.0,1.0,1.0,0.0,0.0,0.032963944553551165,0.6569527298998616,1.0,0.0
863,864.0,42.343692779541016,27.20009994506836,68.0,0.0,4.0,55.16786193847656,27.20009994506836,47.0,62.0,44.0,40923.0,1.0,1.0,1.0,0.0,1.0,0.0,0.6431176683209854,0.4147636777899651,0.0
479,480.0,-0.25285273790359497,9.999999747378753e-05,86.0,0.0,4.0,6.634449005126952,9.999999747378753e-05,0.0,63.0,44.0,41547.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.1713557405267178,0.0
223,224.0,5.193154335021973,9.999999747378753e-05,91.0,0.0,4.0,5.193154335021973,9.999999747378753e-05,0.0,65.0,45.0,42838.0,1.0,0.0,0.0,0.0,1.0,0.0,0.004843510110586441,1.0,0.0
241,242.0,8.105680465698242,2.682693719863892,102.0,0.0,4.0,-5.514592170715332,2.545742988586426,0.0,65.0,45.0,42856.0,0.0,1.0,0.0,0.0,0.5828864581700506,0.3431167137344433,0.17090672249861855,1.0,0.0
227,228.0,-13.70784854888916,0.00010000006295740604,121.0,0.0,4.0,-5.182326316833496,9.999999747378753e-05,0.0,66.0,46.0,43287.0,1.0,1.0,0.0,0.0,0.0,0.0,0.03600708850960465,0.8527039299396414,0.0
359,360.0,-166.7628936767578,39.10480117797852,122.0,0.0,4.0,-24.40271377563477,9.999999747378753e-05,0.0,66.0,46.0,43419.0,1.0,1.0,1.0,0.0,0.6852272984406731,0.6358864930963681,0.14673465892440704,1.0,0.0
407,408.0,62.85530090332031,9.999999747378753e-05,143.0,-0.00019011406844106465,4.0,60.97639465332031,9.999999747378753e-05,11.0,67.0,47.0,44203.0,1.0,1.0,1.0,0.0,0.8390483593272305,0.6827050765835966,0.3309560770211501,0.8982913370213081,0.0
470,471.0,226.1035614013672,196.08425903320312,0.0,0.0,4.0,57.17620086669922,9.999999747378753e-05,11.0,67.0,47.0,44266.0,0.0,0.0,0.0,0.0,1.0,0.2827177547510753,0.6156923679346451,1.0,0.0
157,158.0,-54.027244567871094,33.215274810791016,15.0,0.0,4.0,-44.62287521362305,45.98463821411133,0.0,69.0,49.0,44688.0,0.0,1.0,1.0,0.0,0.5393455555959573,0.0015686373806411676,0.44880368813196414,0.8474646509316969,0.0
390,391.0,7.22383975982666,9.999999747378753e-05,31.0,0.0,4.0,-9.992815017700195,9.999999747378753e-05,9.0,69.0,49.0,44922.0,1.0,0.0,1.0,0.0,0.6547675766052862,1.0,0.6566328011694075,0.3784141603795472,0.0
523,524.0,-23.31481742858887,27.20009994506836,36.0,0.0,4.0,-23.31481742858887,27.20009994506836,2.0,70.0,50.0,45916.0,0.0,0.0,1.0,0.0,1.0,0.6919021001283168,0.5238503242284237,1.0,0.0
541,542.0,-21.35609245300293,28.961618423461914,46.0,0.0,4.0,-34.02256393432617,29.745746612548828,2.0,70.0,50.0,45934.0,1.0,1.0,0.0,0.0,0.3744756656729161,0.4580576172657415,0.4598682997441075,0.03562816745730385,0.0
331,332.0,-10.665666580200195,54.40010070800781,53.0,0.0,4.0,4.7107205390930185,54.40010070800781,12.0,71.0,50.0,46650.0,1.0,0.0,0.0,0.0,0.0,0.4249118248276798,0.0,0.0,0.0
184,185.0,-30.65606689453125,27.20009994506836,71.0,0.0,4.0,-22.93349266052246,27.20009994506836,0.0,72.0,50.0,47204.0,0.0,0.0,1.0,0.0,0.0,0.0,0.020645178019279467,0.4870552808616616,0.0
519,520.0,55.00514221191406,9.999999747378753e-05,78.0,0.0,4.0,67.48717498779297,9.999999747378753e-05,9.0,73.0,51.0,47930.0,0.0,1.0,0.0,0.0,0.7400653607983116,0.10696085896483416,0.0,1.0,0.0
229,230.0,-4.723811149597168,9.999999747378753e-05,95.0,0.0,4.0,-11.7579984664917,9.999999747378753e-05,0.0,74.0,52.0,48432.0,0.0,1.0,0.0,0.0,0.0,0.009023350825567194,1.0,0.18365596490248792,0.0
221,222.0,-4.688318729400635,54.40010070800781,102.0,0.0,4.0,7.050007343292236,54.40010070800781,0.0,77.0,53.0,49598.0,1.0,1.0,0.0,0.0,0.4946084633676502,0.7613951941675065,0.0,0.4143515385637172,0.0
230,231.0,3.44279146194458,9.999999747378753e-05,115.0,0.0,4.0,-3.5062472820281982,9.999999747378753e-05,0.0,78.0,54.0,50157.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.5037616439652992,0.0
413,414.0,-46.75737762451172,27.20009994506836,7.0,0.0,0.0,-46.75737762451172,27.20009994506836,30.0,6.0,4.0,3445.0,1.0,1.0,1.0,0.0,0.8945851362101797,0.2736925325339381,0.026978941230036045,0.07691005517257885,0.0
431,432.0,-45.30156707763672,28.475961685180664,17.0,0.0,0.0,-57.465126037597656,29.745746612548828,30.0,6.0,4.0,3463.0,0.0,1.0,1.0,0.0,0.5036213417983781,0.034001049653079755,0.947642990229096,0.0,0.0
346,347.0,-22.31110191345215,9.999999747378753e-05,117.0,-0.00012936610608020702,4.0,-4.621462345123291,9.999999747378753e-05,16.0,80.0,55.0,51148.0,1.0,1.0,1.0,0.0,0.7675151523944751,0.0,1.0,0.07025693960194865,0.0
618,619.0,5.462712287902832,9.999999747378753e-05,137.0,-0.00012936610608020702,4.0,3.6062407493591313,9.999999747378753e-05,31.0,80.0,55.0,51420.0,0.0,0.0,0.0,0.0,0.5523635039181428,0.0,1.0,1.0,0.0
713,714.0,215.4575042724609,187.3811798095703,138.0,-0.00012936610608020702,4.0,89.46849822998047,9.999999747378753e-05,31.0,80.0,55.0,51515.0,1.0,0.0,1.0,0.0,0.9113780621961289,0.4719513064220064,1.0,0.695343086975873,0.0
720,721.0,224.9094696044922,184.67160034179688,0.0,0.0,4.0,95.88844299316406,3.021615028381348,31.0,80.0,55.0,51522.0,1.0,1.0,1.0,0.0,0.5303532159908105,1.0,1.0,0.4424792428711467,0.0
288,289.0,-68.40000152587889,0.0,29.0,0.0,0.0,-66.13175964355469,9.999999747378753e-05,0.0,7.0,5.0,3917.0,1.0,1.0,1.0,0.0,0.6783248932786494,1.0,0.5455752641905566,0.8021808925973593,0.0
485,486.0,-57.56832504272461,27.20009994506836,39.0,0.0,0.0,-44.81491470336914,27.20009994506836,8.0,7.0,5.0,4114.0,0.0,1.0,0.0,0.0,0.0,1.0,0.4236959167353544,0.0,0.0
289,290.0,-17.756954193115234,40.32010269165039,57.0,0.0,0.0,-22.18031883239746,34.00008773803711,0.0,8.0,5.0,4532.0,1.0,0.0,1.0,0.0,0.0,0.0,0.2983112948427173,0.5676075749067974,0.0
